Player_Name,Team,Opponent,Year,Week,Home_Away,Snap_Count,Snap_Share_Pct,Rush_ATT,Rush_YDS,Rush_Y_per_Att,Rush_TD,Rec_TGT,Rec_REC,Rec_YDS,Rec_Y_per_Rec,Rec_TD,Fantasy_Pts_HalfPPR,RB_Def_Rank,Avg_Fantasy_Pts_Allowed_RB
Bijan Robinson,Falcons,Panthers,2023,1,Home,33,63,10,56,5.6,0,6,6,27,4.5,1,17.3,,
Bijan Robinson,Falcons,Packers,2023,2,Home,59,72,19,124,6.5,0,5,4,48,12,0,19.2,20,9.27
Bijan Robinson,Falcons,Lions,2023,3,Away,54,81,10,33,3.3,0,6,4,27,6.8,0,8,10,7.7
Bijan Robinson,Falcons,Jaguars,2023,4,Away,44,76,14,105,7.5,0,5,5,32,6.4,0,16.2,11,7.52
Bijan Robinson,Falcons,Texans,2023,5,Home,47,61,14,46,3.3,0,2,2,12,6,1,10.8,21,11.12
Bijan Robinson,Falcons,Commanders,2023,6,Home,64,77,13,37,2.8,0,8,5,43,8.6,0,10.5,9,8.02
Bijan Robinson,Falcons,Buccaneers,2023,7,Away,11,17,1,3,3,0,0,0,0,0,0,0.3,8,7.92
Bijan Robinson,Falcons,Titans,2023,8,Away,50,74,11,62,5.6,1,5,0,0,0,0,12.2,19,10.05
Bijan Robinson,Falcons,Vikings,2023,9,Home,42,61,11,51,4.6,0,4,2,8,4,0,4.9,9,8.28
Bijan Robinson,Falcons,Cardinals,2023,10,Away,53,75,22,95,4.3,1,2,1,11,11,0,17.1,28,15.27
Bijan Robinson,Falcons,Saints,2023,12,Home,39,63,16,91,5.7,1,6,3,32,10.7,1,25.8,7,7.3
Bijan Robinson,Falcons,Jets,2023,13,Away,51,75,18,53,2.9,0,5,3,26,8.7,0,9.4,21,10.42
Bijan Robinson,Falcons,Buccaneers,2023,14,Home,56,78,10,34,3.4,1,7,5,54,10.8,0,17.3,7,7.81
Bijan Robinson,Falcons,Panthers,2023,15,Away,30,58,7,11,1.6,0,3,1,3,3,0,-0.1,29,12.65
Bijan Robinson,Falcons,Colts,2023,16,Home,48,75,12,72,6,0,10,7,50,7.1,0,15.7,29,11.69
Bijan Robinson,Falcons,Bears,2023,17,Away,45,76,15,75,5,0,4,3,11,3.7,0,10.1,20,9.95
Bijan Robinson,Falcons,Saints,2023,18,Away,45,74,11,28,2.5,0,8,7,103,14.7,1,22.6,7,8.06
Bijan Robinson,Falcons,Steelers,2024,1,Home,50,89,18,68,3.8,0,5,5,43,8.6,0,13.6,,
Bijan Robinson,Falcons,Eagles,2024,2,Away,46,75,14,97,6.9,0,5,4,25,6.3,0,14.2,17,11.4
Bijan Robinson,Falcons,Chiefs,2024,3,Home,50,82,16,31,1.9,1,2,2,21,10.5,0,12.2,10,8.1
Bijan Robinson,Falcons,Saints,2024,4,Home,36,64,7,28,4,0,4,4,46,11.5,0,9.4,14,9.46
Bijan Robinson,Falcons,Buccaneers,2024,5,Home,58,67,12,61,5.1,0,3,3,16,5.3,0,9.2,13,9.9
Bijan Robinson,Falcons,Panthers,2024,6,Away,39,56,15,95,6.3,2,4,3,10,3.3,0,24,25,12.94
Bijan Robinson,Falcons,Seahawks,2024,7,Home,50,68,21,103,4.9,1,5,3,40,13.3,0,21.8,13,9.26
Bijan Robinson,Falcons,Buccaneers,2024,8,Away,42,68,13,63,4.8,0,7,7,43,6.1,1,20.1,17,10.31
Bijan Robinson,Falcons,Cowboys,2024,9,Home,42,74,19,86,4.5,0,7,7,59,8.4,0,18,26,12
Bijan Robinson,Falcons,Saints,2024,10,Away,61,78,20,116,5.8,2,4,3,28,9.3,0,27.9,27,12.61
Bijan Robinson,Falcons,Broncos,2024,11,Away,42,71,12,35,2.9,0,4,4,28,7,0,8.3,12,9.91
Bijan Robinson,Falcons,Chargers,2024,13,Home,61,75,26,102,3.9,1,6,6,33,5.5,0,22.5,2,7.74
Bijan Robinson,Falcons,Vikings,2024,14,Away,63,85,22,92,4.2,1,2,2,9,4.5,0,19.1,3,7.87
Bijan Robinson,Falcons,Raiders,2024,15,Away,44,76,22,125,5.7,0,2,1,10,10,0,14,17,10.4
Bijan Robinson,Falcons,Giants,2024,16,Home,50,75,22,94,4.3,2,2,2,9,4.5,0,23.3,13,9.95
Bijan Robinson,Falcons,Commanders,2024,17,Away,58,91,17,90,5.3,2,5,3,8,2.7,0,23.3,19,11.1
Bijan Robinson,Falcons,Panthers,2024,18,Home,69,87,28,170,6.1,2,5,2,3,1.5,0,30.3,30,12.62
Bijan Robinson,Falcons,Buccaneers,2025,1,Home,63,83,12,24,2,0,7,6,100,16.7,1,21.4,,
Bijan Robinson,Falcons,Vikings,2025,2,Away,43,65,22,143,6.5,0,5,3,25,8.3,0,18.3,11,8
Bijan Robinson,Falcons,Panthers,2025,3,Away,53,80,13,72,5.5,0,6,5,39,7.8,0,13.6,23,11.75
Bijan Robinson,Falcons,Commanders,2025,4,Home,45,69,17,75,4.4,1,5,4,106,26.5,0,26.1,11,8.4
Bijan Robinson,Falcons,Bills,2025,6,Home,52,74,19,170,8.9,1,8,6,68,11.3,0,32.8,13,9.44
Bijan Robinson,Falcons,49ers,2025,7,Away,57,88,14,40,2.9,0,8,6,52,8.7,1,18.2,27,13.77
Bijan Robinson,Falcons,Dolphins,2025,8,Home,30,60,9,25,2.8,0,3,3,23,7.7,0,4.3,23,14.15
Bijan Robinson,Falcons,Patriots,2025,9,Away,54,96,12,46,3.8,0,10,8,50,6.3,0,13.6,3,7.79
Bijan Robinson,Falcons,Colts,2025,10,Away,54,86,17,84,4.9,0,2,2,4,2,0,9.8,6,7.97
Bijan Robinson,Falcons,Panthers,2025,11,Home,56,85,23,104,4.5,2,5,4,39,9.8,0,28.3,7,8.56
Bijan Robinson,Falcons,Saints,2025,12,Away,37,66,14,70,5,0,2,2,37,18.5,0,13.7,19,11.09
Blake Corum,Rams,Texans,2025,1,Home,10,17,1,2,2,0,1,1,14,14,0,2.1,,
Blake Corum,Rams,Titans,2025,2,Away,18,30,5,44,8.8,1,0,0,0,0,0,10.4,16,10.6
Blake Corum,Rams,Eagles,2025,3,Away,16,24,8,53,6.6,0,0,0,0,0,0,5.3,11,8.9
Blake Corum,Rams,Colts,2025,4,Home,22,29,9,21,2.3,0,4,2,-5,-2.5,0,2.6,8,7.87
Blake Corum,Rams,49ers,2025,5,Home,6,9,1,13,13,0,2,0,0,0,0,1.3,14,10.64
Blake Corum,Rams,Ravens,2025,6,Away,12,23,5,23,4.6,0,0,0,0,0,0,2.3,20,11.59
Blake Corum,Rams,Jaguars,2025,7,Away,24,34,12,37,3.1,0,1,1,6,6,0,4.8,8,8.13
Blake Corum,Rams,Saints,2025,9,Home,22,28,13,58,4.5,0,0,0,0,0,0,5.8,15,10.8
Blake Corum,Rams,49ers,2025,10,Away,27,39,13,56,4.3,0,0,0,0,0,0,5.6,27,12.24
Blake Corum,Rams,Seahawks,2025,11,Home,16,31,8,10,1.3,0,2,1,-5,-5,0,1,6,8.54
